standard_id,standard_version,dimension_id,dimension_name_en,dimension_name_ja,code,label_en,label_ja,definition_en,definition_ja,scope_notes,examples,status,introduced_in,deprecated_in,removed_in,replaced_by,backward_compatible,references,owner,last_reviewed_date
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-001,End-user Productivity,社内生産性,"AI used to improve productivity of internal end users (writing, search, summarization, meeting notes).",社内業務の生産性向上を目的とした利用。,"Exclude customer-facing core functions.","microsoft 365 copilot|notion ai",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-002,Customer-facing Features,顧客向け機能,AI embedded in product/service features provided to customers.,顧客に提供する製品・サービス機能に組み込まれたAI。,"Includes AI-as-a-feature.","chatbot|recommendation",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-003,Developer Tooling,開発支援,AI used to assist software development and engineering tasks.,ソフトウェア開発・エンジニアリング作業を支援するAI利用。,"Includes code generation and review tools.","cursor|github copilot",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-004,IT Operations,IT運用,AI used for IT operations and system administration (monitoring, incident handling).,IT運用・システム管理（監視、インシデント対応等）でのAI利用。,"May overlap with security operations; classify by primary intent.","aops|incident summarization",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-005,Security Operations,セキュリティ運用,AI used for security monitoring/response (SOC, detection, triage).,セキュリティ監視・対応（SOC、検知、トリアージ等）でのAI利用。,"If primary goal is security posture, use FS-005.","soc copilot|alert triage",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-006,Governance & Compliance,ガバナンス/コンプライアンス,AI used to support governance/compliance activities (policy, audit evidence).,ガバナンス/コンプライアンス業務（規程、監査証跡等）を支援するAI利用。,"Includes evidence generation and control mapping support.","policy drafting|evidence bundle",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-001,General Q&A,一般QA,General question answering and conversational use.,一般的な質問応答・対話利用。,"Low to medium risk depending on data type.","chat",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-002,Summarization,要約,Summarizing documents, meetings, or messages.,文書・会議・メッセージの要約。,"Risk depends on confidentiality.","meeting notes",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-003,Translation,翻訳,Translation between languages.,言語間翻訳。,"Beware of sensitive data in prompts.","translation",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-004,Content Drafting,文章作成,Generating drafts for emails, documents, or reports.,メール・文書・レポートの下書き生成。,"Requires review and attribution policy.","draft email",active,0.1.0,,,,true,,AIMO WG,2026-01-19
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-005,Code Generation,コード生成,Generating code or scripts.,コードやスクリプトの生成。,"Must scan for secrets and licensing.","code snippet",active,0.1.0,,,,true,,AIMO WG,2026-01-19
